Befolkning,Alder,Alternativ,År
597371,10-19 år,Hovedalternativ (MMM),2080
1314965,20-39 år,Hovedalternativ (MMM),2080
1397325,40-59 år,Hovedalternativ (MMM),2080
701320,60-69 år,Hovedalternativ (MMM),2080
693106,70-79 år,Hovedalternativ (MMM),2080
914466,80 år eller eldre,Hovedalternativ (MMM),2080
577038,0-9 år,Hovedalternativ (MMM),2081
598994,10-19 år,Hovedalternativ (MMM),2081
1311181,20-39 år,Hovedalternativ (MMM),2081
1402892,40-59 år,Hovedalternativ (MMM),2081
691936,60-69 år,Hovedalternativ (MMM),2081
694420,70-79 år,Hovedalternativ (MMM),2081
923250,80 år eller eldre,Hovedalternativ (MMM),2081
575093,0-9 år,Hovedalternativ (MMM),2082
600346,10-19 år,Hovedalternativ (MMM),2082
1307841,20-39 år,Hovedalternativ (MMM),2082
1405391,40-59 år,Hovedalternativ (MMM),2082
686864,60-69 år,Hovedalternativ (MMM),2082
696486,70-79 år,Hovedalternativ (MMM),2082
929361,80 år eller eldre,Hovedalternativ (MMM),2082
573061,0-9 år,Hovedalternativ (MMM),2083
601381,10-19 år,Hovedalternativ (MMM),2083
1305012,20-39 år,Hovedalternativ (MMM),2083
1408986,40-59 år,Hovedalternativ (MMM),2083
680892,60-69 år,Hovedalternativ (MMM),2083
699150,70-79 år,Hovedalternativ (MMM),2083
933922,80 år eller eldre,Hovedalternativ (MMM),2083
571012,0-9 år,Hovedalternativ (MMM),2084
602045,10-19 år,Hovedalternativ (MMM),2084
1302746,20-39 år,Hovedalternativ (MMM),2084
1412477,40-59 år,Hovedalternativ (MMM),2084
676292,60-69 år,Hovedalternativ (MMM),2084
699352,70-79 år,Hovedalternativ (MMM),2084
938900,80 år eller eldre,Hovedalternativ (MMM),2084
569015,0-9 år,Hovedalternativ (MMM),2085
602323,10-19 år,Hovedalternativ (MMM),2085
1301085,20-39 år,Hovedalternativ (MMM),2085
1415604,40-59 år,Hovedalternativ (MMM),2085
671971,60-69 år,Hovedalternativ (MMM),2085
698865,70-79 år,Hovedalternativ (MMM),2085
943844,80 år eller eldre,Hovedalternativ (MMM),2085
567135,0-9 år,Hovedalternativ (MMM),2086
602197,10-19 år,Hovedalternativ (MMM),2086
1300039,20-39 år,Hovedalternativ (MMM),2086
1418092,40-59 år,Hovedalternativ (MMM),2086
668248,60-69 år,Hovedalternativ (MMM),2086
698070,70-79 år,Hovedalternativ (MMM),2086
948326,80 år eller eldre,Hovedalternativ (MMM),2086
565421,0-9 år,Hovedalternativ (MMM),2087
601683,10-19 år,Hovedalternativ (MMM),2087
1299611,20-39 år,Hovedalternativ (MMM),2087
1419726,40-59 år,Hovedalternativ (MMM),2087
665103,60-69 år,Hovedalternativ (MMM),2087
695766,70-79 år,Hovedalternativ (MMM),2087
953848,80 år eller eldre,Hovedalternativ (MMM),2087
563934,0-9 år,Hovedalternativ (MMM),2088
600797,10-19 år,Hovedalternativ (MMM),2088
1299767,20-39 år,Hovedalternativ (MMM),2088
1420520,40-59 år,Hovedalternativ (MMM),2088
664592,60-69 år,Hovedalternativ (MMM),2088
691493,70-79 år,Hovedalternativ (MMM),2088
958864,80 år eller eldre,Hovedalternativ (MMM),2088
562700,0-9 år,Hovedalternativ (MMM),2089
599579,10-19 år,Hovedalternativ (MMM),2089
1300435,20-39 år,Hovedalternativ (MMM),2089
1420526,40-59 år,Hovedalternativ (MMM),2089
665857,60-69 år,Hovedalternativ (MMM),2089
684409,70-79 år,Hovedalternativ (MMM),2089
965121,80 år eller eldre,Hovedalternativ (MMM),2089
561747,0-9 år,Hovedalternativ (MMM),2090
598084,10-19 år,Hovedalternativ (MMM),2090
1301552,20-39 år,Hovedalternativ (MMM),2090
1419883,40-59 år,Hovedalternativ (MMM),2090
667811,60-69 år,Hovedalternativ (MMM),2090
676187,70-79 år,Hovedalternativ (MMM),2090
971999,80 år eller eldre,Hovedalternativ (MMM),2090
561085,0-9 år,Hovedalternativ (MMM),2091
596363,10-19 år,Hovedalternativ (MMM),2091
1303005,20-39 år,Hovedalternativ (MMM),2091
1418563,40-59 år,Hovedalternativ (MMM),2091
671337,60-69 år,Hovedalternativ (MMM),2091
667603,70-79 år,Hovedalternativ (MMM),2091
978006,80 år eller eldre,Hovedalternativ (MMM),2091
560726,0-9 år,Hovedalternativ (MMM),2092
594484,10-19 år,Hovedalternativ (MMM),2092
1304700,20-39 år,Hovedalternativ (MMM),2092
1416602,40-59 år,Hovedalternativ (MMM),2092
672410,60-69 år,Hovedalternativ (MMM),2092
663199,70-79 år,Hovedalternativ (MMM),2092
982707,80 år eller eldre,Hovedalternativ (MMM),2092
560650,0-9 år,Hovedalternativ (MMM),2093
592519,10-19 år,Hovedalternativ (MMM),2093
1306516,20-39 år,Hovedalternativ (MMM),2093
1414033,40-59 år,Hovedalternativ (MMM),2093
675210,60-69 år,Hovedalternativ (MMM),2093
657899,70-79 år,Hovedalternativ (MMM),2093
987108,80 år eller eldre,Hovedalternativ (MMM),2093
560842,0-9 år,Hovedalternativ (MMM),2094
590535,10-19 år,Hovedalternativ (MMM),2094
1308348,20-39 år,Hovedalternativ (MMM),2094
1410899,40-59 år,Hovedalternativ (MMM),2094
678623,60-69 år,Hovedalternativ (MMM),2094
653902,70-79 år,Hovedalternativ (MMM),2094
990159,80 år eller eldre,Hovedalternativ (MMM),2094
561262,0-9 år,Hovedalternativ (MMM),2095
588602,10-19 år,Hovedalternativ (MMM),2095
1310084,20-39 år,Hovedalternativ (MMM),2095
1407290,40-59 år,Hovedalternativ (MMM),2095
682442,60-69 år,Hovedalternativ (MMM),2095
650161,70-79 år,Hovedalternativ (MMM),2095
993119,80 år eller eldre,Hovedalternativ (MMM),2095
561889,0-9 år,Hovedalternativ (MMM),2096
586777,10-19 år,Hovedalternativ (MMM),2096
1311638,20-39 år,Hovedalternativ (MMM),2096
1403191,40-59 år,Hovedalternativ (MMM),2096
686506,60-69 år,Hovedalternativ (MMM),2096
646999,70-79 år,Hovedalternativ (MMM),2096
995920,80 år eller eldre,Hovedalternativ (MMM),2096
562672,0-9 år,Hovedalternativ (MMM),2097
585118,10-19 år,Hovedalternativ (MMM),2097
1312941,20-39 år,Hovedalternativ (MMM),2097
1398624,40-59 år,Hovedalternativ (MMM),2097
690664,60-69 år,Hovedalternativ (MMM),2097
644392,70-79 år,Hovedalternativ (MMM),2097
998760,80 år eller eldre,Hovedalternativ (MMM),2097
563563,0-9 år,Hovedalternativ (MMM),2098
583679,10-19 år,Hovedalternativ (MMM),2098
1313931,20-39 år,Hovedalternativ (MMM),2098
1394218,40-59 år,Hovedalternativ (MMM),2098
694347,60-69 år,Hovedalternativ (MMM),2098
644320,70-79 år,Hovedalternativ (MMM),2098
999634,80 år eller eldre,Hovedalternativ (MMM),2098
564521,0-9 år,Hovedalternativ (MMM),2099
